id,title,start_page,end_page,image_count
1,article_1,1,1,2
2,Monitor’s Map ,2,2,3
3,Welcome to Jaffna Monitor,3,4,4
4,Mavai's Cunning Strategy,5,5,0
5,Sampanthan's Extended Use of State House and Cars Sparks Controversy,6,6,1
6,Sri Lanka's Costly Tech Turns Dust Collector in Health Crisis,7,7,1
7,From Vijitharan to Swastika: The Shifting Tides of Activism at Jaffna University,8,10,8
8,T HE MONITOR'S EYE,11,11,1
9,The Enduring Allure of ODIs,12,14,5
10,A Wound Unhealed: 33 Years Since the LTTE's Expulsion of Muslims,15,19,6
11,Balasingham's Apology: Individual Remorse Amid LTTE's Silence,20,22,3
12,The Backdrop of Tamil-Muslim Animosity,23,24,8
13,A Stark Reality: The LTTE's Systematic Expulsion of Muslims as Ethnic Cleansing,25,33,13
14,Howzat for an Apology? Sri Lanka Says Sorry in Cricket Blame Game,34,34,2
15,The Journey Beyond Propaganda,35,37,4
16,Prabhakaran:,38,40,8
17,"""World Cup Champion Cummins Foregoes IPL for National Glory""",41,41,2
18,The Quintessential 12th Man of Sri Lankan Cricket,42,42,1
19,Voice of the Reader,43,44,0
